1,0.61,3593248768
1,0.71,3587944448
1,0.82,3586723840
1,0.92,3580387328
1,1.03,3588767744
1,1.13,3588829184
1,1.24,3591208960
1,1.34,3591483392
1,1.45,3587358720
1,1.55,3586940928
1,1.66,3585933312
1,1.76,3585654784
1,1.87,3584524288
1,1.97,3587346432
1,2.08,3587067904
1,2.18,3581444096
1,2.28,3578974208
1,2.40,3581861888
1,2.51,3589062656
1,2.61,3592265728
1,2.72,3591290880
1,2.82,3592278016
1,2.93,3592310784
1,3.03,3592339456
1,3.13,3592552448
1,3.24,3592482816
1,3.34,3592196096
1,3.45,3592798208
1,3.55,3591548928
1,3.66,3590189056
1,3.76,3591774208
1,3.86,3591847936
1,3.97,3593187328
1,4.07,3593187328
1,4.18,3593203712
1,4.28,3592810496
1,4.39,3595661312
1,4.49,3596443648
1,4.60,3596374016
1,4.70,3596390400
1,4.80,3598286848
1,4.91,3598286848
2,0.05,3598311424
2,0.16,3597373440
2,0.26,3590180864
2,0.37,3590909952
2,0.48,3600646144
2,0.58,3601350656
2,0.69,3601809408
2,0.79,3601920000
2,0.90,3607707648
2,1.00,3607707648
2,1.10,3608317952
2,1.21,3609350144
2,1.31,3604721664
2,1.42,3605397504
2,1.52,3606302720
2,1.63,3605139456
2,1.73,3599847424
2,1.84,3600568320
2,1.94,3600568320
2,2.05,3583533056
2,2.15,3598888960
2,2.25,3598266368
2,2.37,3597008896
2,2.48,3583348736
2,2.58,3600920576
2,2.69,3600703488
2,2.79,3601502208
2,2.90,3593818112
2,3.00,3589554176
2,3.10,3590176768
2,3.21,3590209536
2,3.31,3602886656
2,3.42,3599859712
2,3.52,3603300352
2,3.63,3603435520
2,3.73,3603640320
2,3.83,3603632128
2,3.94,3602976768
2,4.04,3603652608
2,4.15,3600592896
2,4.25,3598110720
2,4.36,3593170944
2,4.46,3593859072
2,4.56,3593859072
2,4.67,3596521472
2,4.77,3596677120
2,4.88,3596931072
2,4.98,3598036992
3,0.05,3595169792
3,0.16,3604434944
3,0.26,3608379392
3,0.37,3607322624
3,0.47,3608526848
3,0.58,3598966784
3,0.68,3599745024
3,0.79,3599745024
3,0.89,3599745024
3,0.99,3600785408
3,1.10,3600891904
3,1.20,3600891904
3,1.31,3601559552
3,1.41,3603197952
3,1.52,3603345408
3,1.62,3604287488
3,1.72,3604348928
3,1.83,3604348928
3,1.94,3605028864
3,2.05,3594555392
3,2.15,3610628096
3,2.26,3611205632
3,2.36,3610570752
3,2.47,3596771328
3,2.57,3612794880
3,2.68,3612786688
3,2.78,3612786688
3,2.88,3613458432
3,2.99,3613044736
3,3.09,3612348416
3,3.20,3613192192
3,3.30,3601592320
3,3.41,3601666048
3,3.51,3603431424
3,3.62,3606581248
3,3.72,3607654400
3,3.82,3609423872
3,3.93,3609440256
3,4.03,3609440256
3,4.14,3610542080
3,4.24,3610738688
3,4.35,3611598848
3,4.45,3612950528
3,4.56,3609788416
3,4.66,3609858048
3,4.77,3610628096
3,4.87,3611906048
3,4.97,3612045312
4,0.05,3609772032
4,0.15,3604131840
4,0.26,3603415040
4,0.36,3600420864
4,0.47,3600134144
4,0.57,3589668864
4,0.67,3589545984
4,0.78,3616788480
4,0.88,3618070528
4,0.99,3615703040
4,1.09,3615772672
4,1.20,3616509952
4,1.30,3614982144
4,1.40,3615309824
4,1.51,3615948800
4,1.61,3616239616
4,1.72,3622060032
4,1.82,3622731776
4,1.93,3622522880
4,2.03,3605200896
4,2.14,3609661440
4,2.24,3622408192
4,2.34,3622469632
4,2.45,3623317504
4,2.56,3630317568
4,2.66,3623469056
4,2.77,3624091648
4,2.87,3625025536
4,2.98,3634036736
4,3.08,3638734848
4,3.18,3638603776
4,3.29,3622109184
4,3.39,3622088704
4,3.50,3623104512
4,3.60,3624091648
4,3.70,3624091648
4,3.81,3632128000
4,3.91,3633487872
4,4.02,3632877568
4,4.12,3642466304
4,4.23,3641192448
4,4.33,3639222272
4,4.43,3639222272
4,4.54,3639894016
4,4.64,3638067200
4,4.75,3638067200
4,4.85,3638935552
4,4.96,3637604352
